sitename,canopy_height,igbp_land_use,whc,koeppen_code,product,mat,p_over_pet,cti,aet,aet_corr,prec,prec_cond,pet,pet_over_prec,pet_over_prec_cond,aet_over_prec,aet_over_prec_cond,aet_corr_over_prec,aet_corr_over_prec_cond,cond_mean_ann
CA-Gro,31,MF,237.40826416015625,Dfb,ameriflux,4.195772698853447,1.1857537999162169,4.683863639831543,384.2042421526073,538.4456443534111,830.3200001511897,1127.214917517595,1090.4130737967694,1.3132443799959297,0.9673515288443197,0.4627182797989319,0.34084382328679586,0.6484796756134595,0.477677890866811,296.8949173664053
CA-LP1,15.01866664759318,ENF,262.4881286621094,Csa,ameriflux,4.07276434851229,1.0467941026647982,7.248086452484131,244.28166976777655,282.7798818308579,538.5635863623713,848.5456200929889,1017.0536783951876,1.8884560786307325,1.198584559641864,0.4535799967794558,0.28788277728781,0.5250631290185113,0.3332524205355855,309.9820337306176
CA-MA1,1.9984558823529412,CRO,182.9694061279297,Dfb,ameriflux,2.8123548876275195,0.6312024462507384,8.402433395385742,448.6868196064889,0,467.8090015347605,638.2061569711373,0,0,0,0.9591239547218273,0.7030437025802316,0,0,170.39715543637672
CA-MA2,1.9984558823529412,CRO,182.9694061279297,Dfb,ameriflux,4.758008214941675,0.7599314342887212,6.610469818115234,400.54466992958,604.9888098131497,484.3380008010173,662.6472663375839,869.8445478893377,1.7959452829444613,1.3126811081511316,0.8269941017783932,0.6044613631976014,1.2491045691492209,0.9129877093689537,178.30926553656658
CA-MA3,0.6142857159887042,GRA,182.9694061279297,Dfb,ameriflux,4.738520487985585,0.8310768404872022,12.534753799438477,450.2427629125248,626.1021233577483,484.3380008010173,662.7567141769433,779.8935535050234,1.6102258179519358,1.176741837272141,0.9296044542610647,0.679348474759199,1.2926966753017022,0.9446937465360645,178.41871337592602
CA-NS1,20,ENF,741.468994140625,Dfc,ameriflux,2.470586202783549,0.2323118188751791,5.618974208831787,349.7634728643961,0,164.01160042274344,435.2358132629429,909.5973901247244,5.545933261916947,2.0898955518056166,2.1325532582016953,0.8036183195547154,0,0,271.22421284019947
CA-NS2,20,ENF,758.646728515625,Dfc,ameriflux,-1.420916162354578,0.5855692174793865,5.030539035797119,282.4407120219001,0,332.4672002779971,584.8797524082195,885.1109047496275,2.6622503032164664,1.513321158930905,0.8495295529475789,0.48290389752587864,0,0,252.4125521302223
CA-NS3,12.444598754835717,ENF,750.125244140625,Dfc,ameriflux,1.749934304624864,0.3431149201015791,6.023646831512451,274.50746265297585,0,201.36559808149968,477.2783160407845,973.9858826992636,4.836903085625666,2.0407084293685664,1.3632291973819337,0.5751517582657549,0,0,275.9127179592848
CA-NS4,7,ENF,750.125244140625,Dfc,ameriflux,0.7768919023403277,0.5746626501252704,5.281637668609619,97.71770879474356,0,291.37339833600663,NA,645.8969576676585,2.216732760630473,NA,0.3353693554483558,NA,0,NA,NA
CA-NS5,5,ENF,741.468994140625,Dfc,ameriflux,-0.4829890457997698,0.4532819501928985,6.5356879234313965,281.8575668684484,0,264.9195988138763,519.3655135025826,874.4138922772037,3.3006764927631416,1.6836194732688108,1.0639362588891437,0.5426959617853926,0,0,254.4459146887064
