sitename,pet_p,aet_p,aet_corr_p_cond,aet_corr_p,aet_p_cond,pet_p_cond,res,res_corr,res_cond,res_corr_cond
CZ-wet,1.8793152484497695,0.832519590302925,0.5089723477669792,0.8189997135185418,0.5173743573341193,1.1679118788557523,-0.006736635391493051,-0.1268675472308245,-0.0033075914068473322,-0.16164469225049127
DE-Bay,1.0401168279937032,0.3058351641330796,0.24926549592162808,0.3316431745922128,0.22986800181141015,0.7817596043249576,-0.37385685992869605,-0.46815111848704105,-0.19403481411159923,-0.29549301434596087
DE-Geb,1.4677959077295886,0.6909142354280342,0.5229820857207439,0.879329829844034,0.4109217675037776,0.8729727335338401,-0.09079893013318308,-0.023584992169413788,-0.03958224522760634,-0.05744965346104958
DE-Gri,1.1859530532563618,0.5324760658922646,0.534685324880119,0.7627515276405729,0.37326328163927863,0.8313476546345978,-0.18879562389674664,-0.08273072747693944,-0.06544021185230348,-0.030000280313622674
DE-Hai,1.33068250559544,0.5053400020960109,0.42671943532408807,0.6320440962692044,0.34117619579700514,0.8983994799335577,-0.24976221995087433,-0.24703611634395584,-0.1162729973204793,-0.1629140320855441
DE-HoH,2.391420810049149,1.180061327878413,0.8961212383895445,1.5720747794181524,0.6726639421729045,1.3631686010540334,0.2974046947007134,0.6019384974580908,0.11554957730618531,0.1816822739266808
DE-Hzd,1.266186104239247,0.8628971021230974,0.6931071808945986,1.0878447514379888,0.5497844955027587,0.8067352258096595,0.12206232250073923,0.22250466622105036,0.11832261744713968,0.13814837031645455
DE-Kli,0.9758327846372612,0.572089135064935,0.476398733488524,0.692594329381564,0.39350963157731994,0.6712233741689446,-0.08640582183438938,-0.08236166960563729,0.005841718710544008,-0.018923567802325403
DE-Meh,1.5350119848647332,0.5776352009872596,0.46230262268998534,0.7705367418120574,0.3465665605334645,0.9209684989124314,-0.21552088496270838,-0.14187550976915708,-0.11688767584268461,-0.135244757197587
DE-Obe,1.1070730585695907,0.40083217373964375,0.4033818930181527,0.5463770947774654,0.29592829306201585,0.8173351890914883,-0.29899689078578195,-0.2760924712402427,-0.13867714684200105,-0.1558049314267254
DE-RuR,1.0523910441388922,0.6360057604668561,0.6325237086248724,0.8921020742591146,0.45094472249868534,0.7461727815341785,-0.04752022772907605,0.08791720289885663,0.038196185771260716,0.10289626080904613
DE-RuS,1.621599755963532,1.0738316351396335,0.9370657468869656,1.5643014536310165,0.6432589069563852,0.9713892312421996,0.2672665682030453,0.6413553554999729,0.16690439683493818,0.3226595482571215
DE-Seh,1.1505504025023714,1.0215721579792163,0.7071382404508577,1.1730983469907943,0.6157989567882988,0.6935464441345237,0.30963649518134284,0.33748300075418003,0.22042460756218707,0.2012394571294822
DE-SfN,1.641951634221816,0.5120884567820051,0.4796378096616498,0.6712839895169714,0.3658913211093733,1.1731876489043058,-0.29742959588806583,-0.2538943645228161,-0.1558652810389931,-0.19230483552907618
DE-Tha,1.3590673240411792,0.49829629091402183,0.4645565002983622,0.665064287231773,0.34806677408916425,0.949327112953822,-0.26270968004425543,-0.21950926844969654,-0.12272844150127821,-0.14260911884725075
DE-Wet,1.1041652239522828,0.3273877711235464,0.32222020793953776,0.42769908339983953,0.24664760758832732,0.831856699886592,-0.37160526403239885,-0.3938486631158298,-0.19220354337957518,-0.24266324252602622
DK-Fou,1.4019672053500798,0.15523018945727035,0.16527417246554257,0.25444916603422957,0.10082776652043912,0.9106297076913716,-0.6142936680212288,-0.6378458758137209,-0.35989384477631403,-0.4286769388427415
DK-Lva,0.6959501456556775,0.37135596270230553,0.04984036344356168,0.06475059595853028,0.2858431783372385,0.5356924933987276,-0.16878266769049177,-0.5602841223111802,-0.050184328892966756,-0.37415084530654064
DK-Sor,0.3901725119921753,0.5334613439859783,0.23966470175288537,0.3395372680382005,0.3765473364435169,0.2754059348450024,0.1850243966402183,-0.04083947516324771,0.1698509423820861,-0.008074463432740181
ES-Abr,3.6193481066392454,0.9941297440399556,0.9235533719761088,1.5062046687948287,0.6095664794509492,2.2192609128722256,0.06096486529351142,0.5166940486825533,-0.05332878370672711,0.09711366394489629
ES-Agu,4.767623717239546,0.7469808203979682,0.32032140358747496,0.5889163200323361,0.4062953202411893,2.5931900151777976,-0.207412607169555,-0.40588278484643847,-0.28656634803025394,-0.533214305662783
ES-Cnd,2.1449886770830475,0.5616268104381033,0.6920888607621243,0.932267381555631,0.4169358138015878,1.5923787523198645,-0.30290886938482453,-0.02859426592247649,-0.1756427585884472,-0.06258715292271999
ES-ES1,3.242275648111689,1.0080930996238822,0.5469313715484031,0.9220564186961522,0.5979652984851258,1.9232036469821217,0.08583986485087802,-0.06407507872011275,-0.03561373777699206,-0.25094911612684656
ES-ES2,2.7726766136407743,1.4884243393932086,1.050875722206654,1.7525248708765186,0.892511728993322,1.6625946868006234,0.5846349921234364,0.773123973805558,0.2903434211210154,0.28576505743000036
